LSTAT,RM,INDUS,TAX,NOX,PTRATIO,AGE,RAD,CRIM,MEDV
5.98,6.49,1.25,335.0,0.429,19.7,44.4,1.0,0.06211,22.9
5.49,6.579,1.69,411.0,0.411,18.3,35.9,4.0,0.0795,24.1
7.79,5.884,1.69,411.0,0.411,18.3,18.5,4.0,0.07244,18.6
4.5,6.728,2.02,187.0,0.41,17.0,36.1,5.0,0.01709,30.1
8.05,5.663,1.91,334.0,0.413,22.0,21.9,4.0,0.04301,18.2
5.57,5.936,1.91,334.0,0.413,22.0,19.5,4.0,0.10659,20.6
17.6,6.212,18.1,666.0,0.77,20.2,97.4,24.0,8.98296,17.8
13.27,6.395,18.1,666.0,0.77,20.2,91.0,24.0,3.8497,21.7
11.48,6.127,18.1,666.0,0.77,20.2,83.4,24.0,5.20177,22.7
12.67,6.112,18.1,666.0,0.77,20.2,81.3,24.0,4.26131,22.6
7.79,6.398,18.1,666.0,0.77,20.2,88.0,24.0,4.54192,25.0
14.19,6.251,18.1,666.0,0.77,20.2,91.1,24.0,3.83684,19.9
10.19,5.362,18.1,666.0,0.77,20.2,96.2,24.0,3.67822,20.8
14.64,5.803,18.1,666.0,0.77,20.2,89.0,24.0,4.22239,16.8
5.29,8.78,18.1,666.0,0.718,20.2,82.9,24.0,3.47428,21.9
7.12,3.561,18.1,666.0,0.718,20.2,87.9,24.0,4.55587,27.5
14.0,4.963,18.1,666.0,0.718,20.2,91.4,24.0,3.69695,21.9
13.33,3.863,18.1,666.0,0.631,20.2,100.0,24.0,13.5222,23.1
34.77,4.906,18.1,666.0,0.668,20.2,100.0,24.0,11.1081,13.8
37.97,4.138,18.1,666.0,0.668,20.2,100.0,24.0,18.4982,13.8
13.44,7.313,18.1,666.0,0.671,20.2,97.9,24.0,19.6091,15.0
23.24,6.649,18.1,666.0,0.671,20.2,93.3,24.0,15.288,13.9
21.24,6.794,18.1,666.0,0.671,20.2,98.8,24.0,9.82349,13.3
23.69,6.38,18.1,666.0,0.671,20.2,96.2,24.0,23.6482,13.1
21.78,6.223,18.1,666.0,0.671,20.2,100.0,24.0,17.8667,10.2
17.21,6.968,18.1,666.0,0.671,20.2,91.9,24.0,88.9762,10.4
21.08,6.545,18.1,666.0,0.671,20.2,99.1,24.0,15.8744,10.9
23.6,5.536,18.1,666.0,0.7,20.2,100.0,24.0,9.18702,11.3
24.56,5.52,18.1,666.0,0.7,20.2,100.0,24.0,7.99248,12.3
30.63,4.368,18.1,666.0,0.7,20.2,91.2,24.0,20.0849,8.8
30.81,5.277,18.1,666.0,0.7,20.2,98.1,24.0,16.8118,7.2
28.28,4.652,18.1,666.0,0.7,20.2,100.0,24.0,24.3938,10.5
31.99,5.0,18.1,666.0,0.7,20.2,89.5,24.0,22.5971,7.4
30.62,4.88,18.1,666.0,0.7,20.2,100.0,24.0,14.3337,10.2
20.85,5.39,18.1,666.0,0.7,20.2,98.9,24.0,8.15174,11.5
17.11,5.713,18.1,666.0,0.7,20.2,97.0,24.0,6.96215,15.1
18.76,6.051,18.1,666.0,0.7,20.2,82.5,24.0,5.29305,23.2
25.68,5.036,18.1,666.0,0.7,20.2,97.0,24.0,11.5779,9.7
15.17,6.193,18.1,666.0,0.693,20.2,92.6,24.0,8.64476,13.8
16.35,5.887,18.1,666.0,0.693,20.2,94.7,24.0,13.3598,12.7
17.12,6.471,18.1,666.0,0.693,20.2,98.8,24.0,8.71675,13.1
19.37,6.405,18.1,666.0,0.693,20.2,96.0,24.0,5.87205,12.5
19.92,5.747,18.1,666.0,0.693,20.2,98.9,24.0,7.67202,8.5
30.59,5.453,18.1,666.0,0.693,20.2,100.0,24.0,38.3518,5.0
29.97,5.852,18.1,666.0,0.693,20.2,77.8,24.0,9.91655,6.3
26.77,5.987,18.1,666.0,0.693,20.2,100.0,24.0,25.0461,5.6
20.32,6.343,18.1,666.0,0.693,20.2,100.0,24.0,14.2362,7.2
20.31,6.404,18.1,666.0,0.693,20.2,100.0,24.0,9.59571,12.1
19.77,5.349,18.1,666.0,0.693,20.2,96.0,24.0,24.8017,8.3
27.38,5.531,18.1,666.0,0.693,20.2,85.4,24.0,41.5292,8.5
22.98,5.683,18.1,666.0,0.693,20.2,100.0,24.0,67.9208,5.0
23.34,4.138,18.1,666.0,0.659,20.2,100.0,24.0,20.7162,11.9
12.13,5.608,18.1,666.0,0.659,20.2,100.0,24.0,11.9511,27.9
26.4,5.617,18.1,666.0,0.597,20.2,97.9,24.0,7.40389,17.2
19.78,6.852,18.1,666.0,0.597,20.2,100.0,24.0,14.4383,27.5
10.11,5.757,18.1,666.0,0.597,20.2,100.0,24.0,51.1358,15.0
21.22,6.657,18.1,666.0,0.597,20.2,100.0,24.0,14.0507,17.2
34.37,4.628,18.1,666.0,0.597,20.2,100.0,24.0,18.811,17.9
20.08,5.155,18.1,666.0,0.597,20.2,100.0,24.0,28.6558,16.3
36.98,4.519,18.1,666.0,0.693,20.2,100.0,24.0,45.7461,7.0
29.05,6.434,18.1,666.0,0.679,20.2,100.0,24.0,18.0846,7.2
25.79,6.782,18.1,666.0,0.679,20.2,90.8,24.0,10.8342,7.5
26.64,5.304,18.1,666.0,0.679,20.2,89.1,24.0,25.9406,10.4
20.62,5.957,18.1,666.0,0.679,20.2,100.0,24.0,73.5341,8.8
22.74,6.824,18.1,666.0,0.718,20.2,76.5,24.0,11.8123,8.4
15.02,6.411,18.1,666.0,0.718,20.2,100.0,24.0,11.0874,16.7
15.7,6.006,18.1,666.0,0.718,20.2,95.3,24.0,7.02259,14.2
14.1,5.648,18.1,666.0,0.614,20.2,87.6,24.0,12.0482,20.8
23.29,6.103,18.1,666.0,0.614,20.2,85.1,24.0,7.05042,13.4
17.16,5.565,18.1,666.0,0.584,20.2,70.6,24.0,8.79212,11.7
24.39,5.896,18.1,666.0,0.679,20.2,95.4,24.0,15.8603,8.3
15.69,5.837,18.1,666.0,0.584,20.2,59.7,24.0,12.2472,10.2
14.52,6.202,18.1,666.0,0.679,20.2,78.7,24.0,37.6619,10.9
21.52,6.193,18.1,666.0,0.679,20.2,78.1,24.0,7.36711,11.0
24.08,6.38,18.1,666.0,0.679,20.2,95.6,24.0,9.33889,9.5
17.64,6.348,18.1,666.0,0.584,20.2,86.1,24.0,8.49213,14.5
19.69,6.833,18.1,666.0,0.584,20.2,94.3,24.0,10.0623,14.1
12.03,6.425,18.1,666.0,0.584,20.2,74.8,24.0,6.44405,16.1
16.22,6.436,18.1,666.0,0.713,20.2,87.9,24.0,5.58107,14.3
15.17,6.208,18.1,666.0,0.713,20.2,95.0,24.0,13.9134,11.7
23.27,6.629,18.1,666.0,0.74,20.2,94.6,24.0,11.1604,13.4
18.05,6.461,18.1,666.0,0.74,20.2,93.3,24.0,14.4208,9.6
26.45,6.152,18.1,666.0,0.74,20.2,100.0,24.0,15.1772,8.7
34.02,5.935,18.1,666.0,0.74,20.2,87.9,24.0,13.6781,8.4
22.88,5.627,18.1,666.0,0.74,20.2,93.9,24.0,9.39063,12.8
22.11,5.818,18.1,666.0,0.74,20.2,92.4,24.0,22.0511,10.5
19.52,6.406,18.1,666.0,0.74,20.2,97.2,24.0,9.72418,17.1
16.59,6.219,18.1,666.0,0.74,20.2,100.0,24.0,5.66637,18.4
18.85,6.485,18.1,666.0,0.74,20.2,100.0,24.0,9.96654,15.4
23.79,5.854,18.1,666.0,0.74,20.2,96.6,24.0,12.8023,10.8
23.98,6.459,18.1,666.0,0.74,20.2,94.8,24.0,10.6718,11.8
17.79,6.341,18.1,666.0,0.74,20.2,96.4,24.0,6.28807,14.9
16.44,6.251,18.1,666.0,0.74,20.2,96.6,24.0,9.92485,12.6
18.13,6.185,18.1,666.0,0.713,20.2,98.7,24.0,9.32909,14.1
19.31,6.417,18.1,666.0,0.713,20.2,98.3,24.0,7.52601,13.0
17.44,6.749,18.1,666.0,0.713,20.2,92.6,24.0,6.71772,13.4
17.73,6.655,18.1,666.0,0.713,20.2,98.2,24.0,5.44114,15.2
17.27,6.297,18.1,666.0,0.713,20.2,91.8,24.0,5.09017,16.1
16.74,7.393,18.1,666.0,0.713,20.2,99.3,24.0,8.24809,17.8
18.71,6.728,18.1,666.0,0.713,20.2,94.1,24.0,9.51363,14.9
18.13,6.525,18.1,666.0,0.713,20.2,86.5,24.0,4.75237,14.1
19.01,5.976,18.1,666.0,0.713,20.2,87.9,24.0,4.66883,12.7
16.94,5.936,18.1,666.0,0.713,20.2,80.3,24.0,8.20058,13.5
16.23,6.301,18.1,666.0,0.713,20.2,83.7,24.0,7.75223,14.9
14.7,6.081,18.1,666.0,0.713,20.2,84.4,24.0,6.80117,20.0
16.42,6.701,18.1,666.0,0.713,20.2,90.0,24.0,4.81213,16.4
14.65,6.376,18.1,666.0,0.713,20.2,88.4,24.0,3.69311,17.7
13.99,6.317,18.1,666.0,0.713,20.2,83.0,24.0,6.65492,19.5
10.29,6.513,18.1,666.0,0.713,20.2,89.9,24.0,5.82115,20.2
13.22,6.209,18.1,666.0,0.655,20.2,65.4,24.0,7.83932,21.4
14.13,5.759,18.1,666.0,0.655,20.2,48.2,24.0,3.1636,19.9
17.15,5.952,18.1,666.0,0.655,20.2,84.7,24.0,3.77498,19.0
21.32,6.003,18.1,666.0,0.584,20.2,94.5,24.0,4.42228,19.1
18.13,5.926,18.1,666.0,0.58,20.2,71.0,24.0,15.5757,19.1
14.76,5.713,18.1,666.0,0.58,20.2,56.7,24.0,13.0751,20.1
16.29,6.167,18.1,666.0,0.58,20.2,84.0,24.0,4.34879,19.9
12.87,6.229,18.1,666.0,0.532,20.2,90.7,24.0,4.03841,19.6
14.36,6.437,18.1,666.0,0.58,20.2,75.0,24.0,3.56868,23.2
11.66,6.98,18.1,666.0,0.614,20.2,67.6,24.0,4.64689,29.8
18.14,5.427,18.1,666.0,0.584,20.2,95.4,24.0,8.05579,13.8
24.1,6.162,18.1,666.0,0.584,20.2,97.4,24.0,6.39312,13.3
18.68,6.484,18.1,666.0,0.614,20.2,93.6,24.0,4.87141,16.7
24.91,5.304,18.1,666.0,0.614,20.2,97.3,24.0,15.0234,12.0
18.03,6.185,18.1,666.0,0.614,20.2,96.7,24.0,10.233,14.6
13.11,6.229,18.1,666.0,0.614,20.2,88.0,24.0,14.3337,21.4
10.74,6.242,18.1,666.0,0.532,20.2,64.7,24.0,5.82401,23.0
7.74,6.75,18.1,666.0,0.532,20.2,74.9,24.0,5.70818,23.7
7.01,7.061,18.1,666.0,0.532,20.2,77.0,24.0,5.73116,25.0
10.42,5.762,18.1,666.0,0.532,20.2,40.3,24.0,2.81838,21.8
13.34,5.871,18.1,666.0,0.583,20.2,41.9,24.0,2.37857,20.6
10.58,6.312,18.1,666.0,0.583,20.2,51.9,24.0,3.67367,21.2
14.98,6.114,18.1,666.0,0.583,20.2,79.8,24.0,5.69175,19.1
11.45,5.905,18.1,666.0,0.583,20.2,53.2,24.0,4.83567,20.6
18.06,5.454,27.74,711.0,0.609,20.1,92.7,4.0,0.15086,15.2
23.97,5.414,27.74,711.0,0.609,20.1,98.3,4.0,0.18337,7.0
29.68,5.093,27.74,711.0,0.609,20.1,98.0,4.0,0.20746,8.1
18.07,5.983,27.74,711.0,0.609,20.1,98.8,4.0,0.10574,13.6
13.35,5.983,27.74,711.0,0.609,20.1,83.5,4.0,0.11132,20.1
12.01,5.707,9.69,391.0,0.585,19.2,54.0,6.0,0.17331,21.8
13.59,5.926,9.69,391.0,0.585,19.2,42.6,6.0,0.27957,24.5
17.6,5.67,9.69,391.0,0.585,19.2,28.8,6.0,0.17899,23.1
21.14,5.39,9.69,391.0,0.585,19.2,72.9,6.0,0.2896,19.7
14.1,5.794,9.69,391.0,0.585,19.2,70.6,6.0,0.26838,18.3
12.92,6.019,9.69,391.0,0.585,19.2,65.3,6.0,0.23912,21.2
15.1,5.569,9.69,391.0,0.585,19.2,73.5,6.0,0.17783,17.5
14.33,6.027,9.69,391.0,0.585,19.2,79.7,6.0,0.22438,16.8
9.67,6.593,11.93,273.0,0.573,21.0,69.1,1.0,0.06263,22.4
9.08,6.12,11.93,273.0,0.573,21.0,76.7,1.0,0.04527,20.6
5.64,6.976,11.93,273.0,0.573,21.0,91.0,1.0,0.06076,23.9
6.48,6.794,11.93,273.0,0.573,21.0,89.3,1.0,0.10959,22.0
7.88,6.03,11.93,273.0,0.573,21.0,80.8,1.0,0.04741,11.9
